id_inscripcion,id_estudiante,codigo_asignatura,semestre,anio,docente,nombre,rut,anio_ingreso,email,nota_promedio,nota_minima,nota_maxima,cantidad_evaluaciones,ponderacion_total,nota_final_ponderada,total_clases,presentes,ausentes,justificados,tardanzas,tasa_asistencia,carga_asignaturas,antiguedad_ingreso,aprobado,nota_promedio_scaled,nota_minima_scaled,nota_maxima_scaled,nota_final_ponderada_scaled,cantidad_evaluaciones_scaled,ponderacion_total_scaled,total_clases_scaled,presentes_scaled,ausentes_scaled,justificados_scaled,tardanzas_scaled,tasa_asistencia_scaled,carga_asignaturas_scaled,antiguedad_ingreso_scaled,carrera_Administracion,carrera_Arquitectura,carrera_Derecho,carrera_Enfermeria,carrera_Ing. Civil,carrera_Ing. Informatica,carrera_Psicologia,sede_Concepcion,sede_Santiago Centro,sede_Sede Norte,sede_Sede Sur,sede_Vina Del Mar,estado_matricula_Congelada,estado_matricula_Desertor,estado_matricula_Egresado,estado_matricula_Regular,nombre_asignatura_Algoritmos,nombre_asignatura_Base De Datos,nombre_asignatura_Calculo I,nombre_asignatura_Contabilidad,nombre_asignatura_Estadistica,nombre_asignatura_Etica,nombre_asignatura_Fisica,nombre_asignatura_Ingles,nombre_asignatura_Marketing,nombre_asignatura_Programacion,nombre_asignatura_Quimica,nombre_asignatura_Redes,seccion_001D,seccion_001V,seccion_002D,seccion_003D,riesgo_academico_Alto,riesgo_academico_Bajo,riesgo_academico_Medio,resultado_academico_Aceptable,resultado_academico_Critico,resultado_academico_En Riesgo,resultado_academico_Sobresaliente
313,37,ASG-670,1,2022,Martin Munoz Valenzuela,Joaquin Nunez Flores,14759178-1,2019,joaquin.nunez@outlook.com,5.7,5.7,5.7,1.0,10.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1,0.8143,0.8143,0.8143,0.8143,0.2,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
757,39,ASG-146,1,2022,Jose Soto Araya,Barbara Reyes Garcia,15715330-9,2021,barbara.reyes@outlook.com,3.5,3.5,3.5,1.0,15.0,3.5,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,0.5,0.5,0.5,0.5,0.2,0.1071,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
740,44,ASG-967,1,2022,Sebastian Torres Valenzuela,Sin Nombre,6244185-1,2020,sofia.valenzuela@gmail.com,4.9,4.4,5.4,2.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0.7,0.6286,0.7714,0.7143,0.4,0.1786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
95,50,ASG-938,1,2022,Agustin Garcia Tapia,Ignacio Diaz Fuentes,6048233-0,2022,ignacio.diaz@outlook.com,4.9,3.6,6.2,2.0,55.0,4.55,2.0,2.0,0.0,0.0,0.0,1.0,1,0,1,0.7,0.5143,0.8857,0.65,0.4,0.3929,0.5,0.6667,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
184,51,ASG-746,1,2022,Carolina Zambrano Nunez,Joaquin Jara Araya,8518523-7,2019,joaquin.jara@gmail.com,6.9,6.9,6.9,1.0,25.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0.9857,0.9857,0.9857,0.9857,0.2,0.1786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
598,56,ASG-180,1,2022,Macarena Perez Jara,Maximiliano Castro Garcia,23219923-6,2022,maximiliano.castro@gmail.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
155,57,ASG-860,1,2022,Constanza Gonzalez Zambrano,Sebastian Contreras Perez,10975976-8,2023,sebastian.contreras@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
893,57,ASG-347,1,2022,Isidora Nunez Sepulveda,Sebastian Contreras Perez,10975976-8,2023,sebastian.contreras@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333,0.0,0.0,0.0,1.0,0.3333,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
248,68,ASG-143,1,2022,Catalina Zambrano Martinez,Maximiliano Torres Torres,17348514-5,2024,maximiliano.torres@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
475,69,ASG-368,1,2022,Marcela Zambrano Rodriguez,Sin Nombre,22689499-9,2022,nicolas.torres@gmail.com,3.3,1.1,5.5,2.0,30.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.4714,0.1571,0.7857,0.5757,0.4,0.2143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
317,70,ASG-489,1,2022,Joaquin Reyes Reyes,Paula Bravo Reyes,18674076-0,2019,paula.bravo@gmail.com,7.0,7.0,7.0,1.0,25.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1,3,1,1.0,1.0,1.0,1.0,0.2,0.1786,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
610,73,ASG-744,1,2022,Matias Jara Martinez,Natalia Rivera Lopez,9457351-8,2021,natalia.rivera@outlook.com,3.6,3.6,3.6,1.0,35.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.5143,0.5143,0.5143,0.5143,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
608,78,ASG-628,1,2022,Francisca Reyes Perez,Jose Gatica Sepulveda,11504524-9,2020,jose.gatica@outlook.com,6.7,6.7,6.7,1.0,15.0,6.7,2.0,1.0,0.0,1.0,0.0,1.0,1,2,1,0.9571,0.9571,0.9571,0.9571,0.2,0.1071,0.5,0.3333,0.0,0.5,0.0,1.0,0.0,0.4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
490,79,ASG-132,1,2022,Docente No Informado,Jose Zambrano Araya,5244992-1,2019,jose.zambrano@outlook.com,2.5,1.7,3.3,2.0,80.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0.3571,0.2429,0.4714,0.3571,0.4,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
309,89,ASG-490,1,2022,Daniela Silva Morales,Sofia Garcia Reyes,19818624-1,2021,sofia.garcia@gmail.com,6.6,6.6,6.6,1.0,25.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.9429,0.9429,0.9429,0.9429,0.2,0.1786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
148,91,ASG-SINCOD,1,2022,Macarena Hernandez Morales,Barbara Vergara Tapia,5749830-3,2024,barbara.vergara@gmail.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
372,103,ASG-361,1,2022,Ignacio Torres Gatica,Marcela Jara Flores,21998000-8,2022,marcela.jara@outlook.com,5.15,4.8,5.5,2.0,60.0,5.15,2.0,2.0,0.0,0.0,0.0,1.0,1,0,1,0.7357,0.6857,0.7857,0.7357,0.4,0.4286,0.5,0.6667,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
6,108,ASG-684,1,2022,Fernanda Valenzuela Reyes,Maximiliano Araya Flores,10578323-1,2021,maximiliano.araya@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
28,113,ASG-805,1,2022,Isidora Araya Vergara,Andres Figueroa Espinoza,21415897-8,2020,andres.figueroa@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.5,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.3333,0.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
424,113,ASG-549,1,2022,Cristobal Hernandez Tapia,Andres Figueroa Espinoza,21415897-8,2020,andres.figueroa@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
690,114,ASG-175,1,2022,Diego Jara Aguilera,Antonia Figueroa Munoz,24045789-2,2020,antonia.figueroa@gmail.com,5.5,5.5,5.5,1.0,35.0,5.5,1.0,1.0,0.0,0.0,0.0,1.0,1,2,1,0.7857,0.7857,0.7857,0.7857,0.2,0.25,0.25,0.3333,0.0,0.0,0.0,1.0,0.0,0.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
22,115,ASG-896,1,2022,Carlos Bravo Munoz,Barbara Perez Bravo,16178548-9,2023,barbara.perez@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
263,118,ASG-151,1,2022,Carlos Valenzuela Espinoza,Alejandra Tapia Reyes,13861924-4,2019,alejandra.tapia@outlook.com,6.9,6.9,6.9,1.0,25.0,6.9,1.0,0.0,0.0,0.0,1.0,0.0,1,3,1,0.9857,0.9857,0.9857,0.9857,0.2,0.1786,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
210,119,ASG-423,1,2022,Carlos Contreras Soto,Jose Jara Bravo,17668220-5,2019,jose.jara@gmail.com,5.05,4.8,5.3,2.0,60.0,5.09,1.0,0.0,0.0,0.0,1.0,0.0,2,3,1,0.7214,0.6857,0.7571,0.7271,0.4,0.4286,0.25,0.0,0.0,0.0,0.5,0.0,0.3333,0.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
700,119,ASG-795,1,2022,Agustin Gonzalez Torres,Jose Jara Bravo,17668220-5,2019,jose.jara@gmail.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
49,127,ASG-338,1,2022,Ignacio Castro Valenzuela,Javiera Soto Gatica,17819354-7,2019,javiera.soto@outlook.com,4.6,4.6,4.6,1.0,10.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0.6571,0.6571,0.6571,0.6571,0.2,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
44,147,ASG-200,1,2022,Paula Sepulveda Zambrano,Sin Nombre,19861791-2,2024,alejandra.jara@gmail.com,2.4,2.4,2.4,1.0,35.0,2.4,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0.3429,0.3429,0.3429,0.3429,0.2,0.25,0.25,0.3333,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
159,150,ASG-417,1,2022,Lucas Zambrano Gatica,Carolina Castro Vergara,11563081-0,2022,carolina.castro@gmail.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
550,150,ASG-759,1,2022,Cristobal Figueroa Zambrano,Carolina Castro Vergara,11563081-0,2022,carolina.castro@gmail.com,1.4,1.4,1.4,1.0,40.0,1.4,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0,0.2,0.2,0.2,0.2,0.2,0.2857,0.25,0.3333,0.0,0.0,0.0,1.0,0.3333,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
67,152,ASG-876,1,2022,Antonia Munoz Rodriguez,Joaquin Medina Rivera,18250399-4,2024,joaquin.medina@gmail.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
101,157,ASG-465,1,2022,Santiago Rodriguez Vergara,Ana Lopez Perez,8637547-8,2022,ana.lopez@outlook.com,4.4,4.4,4.4,1.0,20.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.6286,0.6286,0.6286,0.6286,0.2,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
219,158,ASG-420,1,2022,Docente No Informado,Nicolas Castro Lopez,12960397-7,2020,nicolas.castro@gmail.com,2.6,2.6,2.6,1.0,15.0,2.6,1.0,1.0,0.0,0.0,0.0,1.0,1,2,0,0.3714,0.3714,0.3714,0.3714,0.2,0.1071,0.25,0.3333,0.0,0.0,0.0,1.0,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
863,164,ASG-865,1,2022,Macarena Espinoza Zambrano,Martin Sepulveda Zambrano,8147712-7,2022,sin_email_164@correo.local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
446,166,ASG-593,1,2022,Tomas Rojas Rivera,Valentina Reyes Espinoza,14460300-8,2024,valentina.reyes@gmail.com,4.2,4.2,4.2,1.0,25.0,4.2,2.0,2.0,0.0,0.0,0.0,1.0,1,0,1,0.6,0.6,0.6,0.6,0.2,0.1786,0.5,0.6667,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
766,169,ASG-SINCOD,1,2022,Santiago Vergara Silva,Francisca Lopez Diaz,6655097-4,2020,francisca.lopez@gmail.com,5.75,5.5,6.0,2.0,60.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0.8214,0.7857,0.8571,0.81,0.4,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
41,170,ASG-917,1,2022,Alejandra Sepulveda Lopez,Pedro Jara Hernandez,8455369-8,2020,pedro.jara@gmail.com,2.95,2.1,3.8,2.0,70.0,2.83,2.0,2.0,0.0,0.0,0.0,1.0,1,2,0,0.4214,0.3,0.5429,0.4043,0.4,0.5,0.5,0.6667,0.0,0.0,0.0,1.0,0.0,0.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
379,175,ASG-572,1,2022,Lucas Nunez Sepulveda,Paula Araya Figueroa,16022848-6,2024,paula.araya@gmail.com,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333,0.0,0.5,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
131,179,ASG-481,1,2022,Agustin Rivera Torres,Martin Nunez Silva,24757598-9,2020,martin.nunez@outlook.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
